Type,Title,Language_and_Year_of_Movie,Image_src,URL
Web-series,Krishna Stories,"1 Season, 9 Episodes",https://j2apps.s.llnwi.net/is1/media/images/363ae8c71daa1222a1a67aabd91a62dd/16x9/1_5x/test_pic1539929849741.jpg,/show/watch-krishna-stories-series-online-363ae8c71daa1222a1a67aabd91a62dd
Web-series,Tales of Panchatantra,"1 Season, 11 Episodes",https://j2apps.s.llnwi.net/is1/media/images/ad0ac8d8af71c170077c071466a019d1/16x9/1_5x/test_pic1539929628044.jpg,/show/watch-tales-of-panchatantra-series-online-ad0ac8d8af71c170077c071466a019d1
Web-series,Saibaba Stories,"1 Season, 7 Episodes",https://j2apps.s.llnwi.net/is1/media/images/1cb28af979d8019203a14c1e84ad8966/16x9/1_5x/test_pic1539929553542.jpg,/show/watch-saibaba-stories-series-online-1cb28af979d8019203a14c1e84ad8966
Web-series,Jataka Tales,"1 Season, 5 Episodes",https://j2apps.s.llnwi.net/is1/media/images/bc9d65754d5c755b969f10b024dce4dd/16x9/1_5x/test_pic1539929643364.jpg,/show/watch-jataka-tales-series-online-bc9d65754d5c755b969f10b024dce4dd
Web-series,Happy Lucky Ki Katti Batti (Hindi),"1 Season, 13 Episodes",https://j2apps.s.llnwi.net/is1/media/images/85d028e19034e314a21480a37f54d24a/16x9/1_5x/test_pic1544009639494.jpg,/show/watch-happy-lucky-ki-katti-batti-hindi-series-online-85d028e19034e314a21480a37f54d24a
Web-series,Akbar Birbal Stories,"1 Season, 7 Episodes",https://j2apps.s.llnwi.net/is1/media/images/b882caff3d74c0816a224bae7e23ba4b/16x9/1_5x/test_pic1539929525680.jpg,/show/watch-akbar-birbal-stories-series-online-b882caff3d74c0816a224bae7e23ba4b
Web-series,Moe Doe (Hindi),"1 Season, 26 Episodes",https://j2apps.s.llnwi.net/is1/media/images/d90ddcdd1ae472f15f3587c44c3cfb8c/16x9/1_5x/test_pic1544010847448.jpg,/show/watch-moe-doe-hindi-series-online-d90ddcdd1ae472f15f3587c44c3cfb8c
Web-series,Tales of Ganesha,"1 Season, 2 Episodes",https://j2apps.s.llnwi.net/is1/media/images/27ec05062da02f280b2d02dab6fb8e5e/16x9/1_5x/test_pic1539929579435.jpg,/show/watch-tales-of-ganesha-series-online-27ec05062da02f280b2d02dab6fb8e5e
Web-series,Model Turned Superstar,"1 Season, 15 Episodes",https://j2apps.s.llnwi.net/is1/media/images/89d5bfb4ae7e4cd867f942b431d1eb9a/16x9/1_5x/794eec388dc4fc109890fb243377da08_1920x1080.jpg,/show/watch-model-turned-superstar-series-online-89d5bfb4ae7e4cd867f942b431d1eb9a
Web-series,Twinning,"1 Season, 10 Episodes",https://j2apps.s.llnwi.net/is1/media/images/4dc812ed2d750b3bee78c54e9f38937a/16x9/1_5x/test_pic1558011116681.jpg,/show/watch-twinning-series-online-4dc812ed2d750b3bee78c54e9f38937a
Web-series,Know Your Winter Trends,"1 Season, 10 Episodes",https://j2apps.s.llnwi.net/is1/media/images/86952392fea790a070d0e9ffb54a8f26/16x9/1_5x/5722eaa9e776d807e873dd2add8f8ff0_1920x1080.jpg,/show/watch-know-your-winter-trends-series-online-86952392fea790a070d0e9ffb54a8f26
Web-series,FASHION FROM SEOUL,"1 Season, 6 Episodes",https://j2apps.s.llnwi.net/is1/media/images/7990426a12665d73760aab414de5e680/16x9/1_5x/c9a2fda6d645f3f41a30144ee491b998_1920x1080.jpg,/show/watch-fashion-from-seoul-series-online-7990426a12665d73760aab414de5e680
Web-series,Hunt For Kingfisher Calendar Girls ,"1 Season, 30 Episodes",https://j2apps.s.llnwi.net/is1/media/images/b7f05fdecabf7ca7ba7c924e756a8699/16x9/1_5x/test_pic1539173892763.jpg,/show/watch-hunt-for-kingfisher-calendar-girls-series-online-b7f05fdecabf7ca7ba7c924e756a8699
Web-series,Couture,"1 Season, 5 Episodes",https://j2apps.s.llnwi.net/is1/media/images/9418ef4f50dd5d0ccdb0d151649b76a2/16x9/1_5x/b3d8d64705f6f06cd05f0ca5dbfd7322_1920x1080.jpg,/show/watch-couture-series-online-9418ef4f50dd5d0ccdb0d151649b76a2
Web-series,Staying Alive In Bollywood,"1 Season, 35 Episodes",https://j2apps.s.llnwi.net/is1/media/images/3c419f65f55ef3f2c86b194281c615d6/16x9/1_5x/test_pic1531211004291.jpg,/show/watch-staying-alive-in-bollywood-series-online-3c419f65f55ef3f2c86b194281c615d6
Web-series,High Intensity Bodyweight Workout,"1 Season, 7 Episodes",https://j2apps.s.llnwi.net/is1/media/images/7d93feae8ed156b406c2cc4fa9e1dabf/16x9/1_5x/test_pic1533558435534.jpg,/show/watch-high-intensity-bodyweight-workout-series-online-7d93feae8ed156b406c2cc4fa9e1dabf
Web-series,Get Fit WIth Zumba,"1 Season, 5 Episodes",https://j2apps.s.llnwi.net/is1/media/images/3cda1cd2d7691157bdf837e2c75a8c62/16x9/1_5x/test_pic1539173665945.jpg,/show/watch-get-fit-with-zumba-series-online-3cda1cd2d7691157bdf837e2c75a8c62
Web-series,LIVFIT - Yoga,"1 Season, 67 Episodes",https://j2apps.s.llnwi.net/is1/media/images/f9e2424c97d25aff50ecfc888bba24d2/16x9/1_5x/test_pic1539174132022.jpg,/show/watch-livfit-yoga-series-online-f9e2424c97d25aff50ecfc888bba24d2
Web-series,LIVFIT - Nutrition,"1 Season, 31 Episodes",https://j2apps.s.llnwi.net/is1/media/images/14059f0ff18bb153145b83fc2dab681e/16x9/1_5x/test_pic1539174984648.jpg,/show/watch-livfit-nutrition-series-online-14059f0ff18bb153145b83fc2dab681e
Web-series,Boot Camp,"1 Season, 10 Episodes",https://j2apps.s.llnwi.net/is1/media/images/d15712f8b21d1dfb294055d21d5dc07c/16x9/1_5x/test_pic1533558257297.jpg,/show/watch-boot-camp-series-online-d15712f8b21d1dfb294055d21d5dc07c
Web-series,Yoga Workout Series,"1 Season, 7 Episodes",https://j2apps.s.llnwi.net/is1/media/images/587db1d76ec1d21ae20e937737b5b44f/16x9/1_5x/test_pic1533908047609.jpg,/show/watch-yoga-workout-series-series-online-587db1d76ec1d21ae20e937737b5b44f
Web-series,LIVFIT - Celebrity Fitness,"1 Season, 10 Episodes",https://j2apps.s.llnwi.net/is1/media/images/e7fede41f6ba24bd955ea35388988639/16x9/1_5x/test_pic1539174211568.jpg,/show/watch-livfit-celebrity-fitness-series-online-e7fede41f6ba24bd955ea35388988639
Web-series,Rock Climbing,"1 Season, 5 Episodes",https://j2apps.s.llnwi.net/is1/media/images/d644bb96b45a5c23515f45c88f5817ab/16x9/1_5x/test_pic1533558946530.jpg,/show/watch-rock-climbing-series-online-d644bb96b45a5c23515f45c88f5817ab
Web-series,Lunch Workout,"1 Season, 16 Episodes",https://j2apps.s.llnwi.net/is1/media/images/1ef9a915f29636b5097a9e5ededb2efd/16x9/1_5x/test_pic1533908629025.jpg,/show/watch-lunch-workout-series-online-1ef9a915f29636b5097a9e5ededb2efd
Web-series,Love Ok Please,"1 Season, 14 Episodes",https://j2apps.s.llnwi.net/is1/media/images/6e91855fc6e2df5ff921179f3760cd83/16x9/1_5x/test_pic1558681969328.jpg,/show/watch-love-ok-please-series-online-6e91855fc6e2df5ff921179f3760cd83
Web-series,Away From Home,"1 Season, 5 Episodes",https://j2apps.s.llnwi.net/is1/media/images/b7ac513b4bfe271916f4865d5688a72f/16x9/1_5x/test_pic1534238976587.jpg,/show/watch-away-from-home-series-online-b7ac513b4bfe271916f4865d5688a72f
Web-series,Cruising Legends,"1 Season, 4 Episodes",https://j2apps.s.llnwi.net/is1/media/images/dbb71bfc0583e754ca3555672e051478/16x9/1_5x/test_pic1534238872834.jpg,/show/watch-cruising-legends-series-online-dbb71bfc0583e754ca3555672e051478
Web-series,Way Back Home,"1 Season, 12 Episodes",https://j2apps.s.llnwi.net/is1/media/images/409c3dd247e531bb8f2169e1e49235ba/16x9/1_5x/test_pic1534170780429.jpg,/show/watch-way-back-home-series-online-409c3dd247e531bb8f2169e1e49235ba
Web-series,Under The Rupee,"1 Season, 3 Episodes",https://j2apps.s.llnwi.net/is1/media/images/7069801fed18f7ff6d473770ee5a151c/16x9/1_5x/test_pic1534238901877.jpg,/show/watch-under-the-rupee-series-online-7069801fed18f7ff6d473770ee5a151c
Web-series,Travel On,"1 Season, 14 Episodes",https://j2apps.s.llnwi.net/is1/media/images/c9066654a0fcc1968548dd2076aec27f/16x9/1_5x/test_pic1559223747383.jpg,/show/watch-travel-on-series-online-c9066654a0fcc1968548dd2076aec27f
Web-series,Adho Mukha Shvanasana,"S1 E1 | 1 Jan, 2018",https://j2apps.s.llnwi.net/is1/media/images/8a8aefa8451f811886acc20659953406/16x9/1_5x/8196475367d1bca955ab0bdbaac517e8_1080x608.jpg,/show/watch-yoga-for-kids/season-1/adho-mukha-shvanasana-online-8a8aefa8451f811886acc20659953406
Web-series,Anantasana,"S1 E2 | 1 Jan, 2018",https://j2apps.s.llnwi.net/is1/media/images/193befd9b29ac22b2994241317ce3be6/16x9/1_5x/b007eb3a8852bfb64fad88c504b598d4_1080x608.jpg,/show/watch-yoga-for-kids/season-1/anantasana-online-193befd9b29ac22b2994241317ce3be6
Web-series,Baddha Konasana,"S1 E3 | 1 Jan, 2018",https://j2apps.s.llnwi.net/is1/media/images/f5718fe5abbe206a2e935238d3f5c194/16x9/1_5x/49f8d3fd9b610b79a98e60ea994b5620_1080x608.jpg,/show/watch-yoga-for-kids/season-1/baddha-konasana-online-f5718fe5abbe206a2e935238d3f5c194
Web-series,Bhujangasana,"S1 E4 | 1 Jan, 2018",https://j2apps.s.llnwi.net/is1/media/images/7d2bc4f66ec0248dfc2ea14da74b90f7/16x9/1_5x/1d2128284837d5876b4fcc42934bab9f_1080x608.jpg,/show/watch-yoga-for-kids/season-1/bhujangasana-online-7d2bc4f66ec0248dfc2ea14da74b90f7
